,cliente,id_cliente,consecutivo_de_cliente,orden_RFQ
0,ETM,ETM,999,ETM-999
1,WOLVENG,WOL,999,WOLVENG-999
2,BOSCH,BOS,999,BOSCH-999
3,BRP,BRP,999,BRP-999
4,UL,UL,999,UL-999
5,CONTROL DIGITAL,CON,999,CONTROL DIGITAL-999
6,3CON,3CO,999,3CON-999
7,BAKER HUGHES,BAK,999,BAKER HUGHES-999
8,PLASTICSMART,PLA,999,PLASTICSMART-999
9,SAARGUMMI,SAA,999,SAARGUMMI-999
10,EPS,EPS,999,EPS-999
11,NRMACHINING,NRM,999,NRMACHINING-999
12,CRG,CRG,999,CRG-999
13,KIMBERLY CLARK,KIM,999,KIMBERLY CLARK-999
14,DIICSA,DII,999,DIICSA-999
15,DACOM,DAC,999,DACOM-999
16,HARMAN,HAR,999,HARMAN-999
17,XOMERTRY,XOM,999,XOMERTRY-999
18,ICARUS,ICA,999,ICARUS-999
19,THYSSENKRUPP,THY,999,THYSSENKRUPP-999
20,SHUNK,SHU,999,SHUNK-999
21,IBERFLUID,IBE,999,IBERFLUID-999
